EDE	Lot_x_Time	Lot	Time	Vache	velage	DIM	semlact	Date	RACE	SEVRAGE	S3	SEXE VEAU	Acetate	propionate	iso_butyrate	butyrate	iso_valerate	Valerate	caproate	VFA_totaux	VFAt_Acetate	VFAt_propionate	VFAt_isobutyrate	VFAt_butyrate	VFAt_isovalerate	VFAt_valerate	VFAt_caproate	igG_Matin 	igG_soir	Lacto_Matin	Lacto_soir	id
9757	NA	P	7	5722	11/04/2019	49	7.000000	30/05/2019	Ho	09/07/2019	14/05/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	590	505	116.430	105.753	
9763	NA	P	7	4633	18/04/2019	42	6.000000	30/05/2019	Mo	09/07/2019	14/05/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	540	525	69.975	18.835	
9725	NA	P	9	5690	22/02/2019	69	9.857143	02/05/2019	Ho	14/05/2019	19/03/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	315	270	13.947	17.324	
9732	NA	P	9	6718	04/03/2019	59	8.428571	02/05/2019	Ho	11/06/2019	02/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.243	1.033	
9740	NA	P	9	7639	14/03/2019	63	9.000000	16/05/2019	Mo	28/05/2019	16/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	260	200	77.228	14.208	
9744	NA	P	9	5704	21/03/2019	56	8.000000	16/05/2019	Mo	28/05/2019	16/04/2019	MF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	360	570	57.409	63.994	
9748	NA	P	9	7622	31/03/2019	88	12.571429	27/06/2019	Mo	09/07/2019	30/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	335	305	342.000	355.000	
9750	NA	P	9	6640	03/04/2019	57	8.142857	30/05/2019	Ho	11/06/2019	30/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	290	290	62.000	115.000	
9756	NA	P	9	4165	11/04/2019	63	9.000000	13/06/2019	Ho	25/06/2019	14/05/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	335	340	274.000	425.000	
9757	NA	P	9	5722	11/04/2019	77	11.000000	27/06/2019	Ho	09/07/2019	14/05/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	375	335	418.000	509.000	
9763	NA	P	9	4633	18/04/2019	70	10.000000	27/06/2019	Mo	09/07/2019	14/05/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	340	365	323.000	262.000	
9747	NA	T	13	4180	01/04/2019	101	14.428571	11/07/2019	Ho	25/06/2019	30/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	240	NA	219.000	
2342	NA	T	7	5651	05/05/2019	39	5.571429	13/06/2019	Ho	09/07/2019	28/05/2019	MF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	255	255	235.000	213.000	
9741	NA	T	7	6728	17/03/2019	46	6.571429	02/05/2019	Mo	28/05/2019	16/04/2019	MF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	605	NA	9.667	NA	
